"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","01.01.2024 00:00 - 01.01.2024 01:00 (UTC)","161","n/e","n/e","n/e","65","101","27","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","28","1177","1174"
"BZN|DK1","01.01.2024 01:00 - 01.01.2024 02:00 (UTC)","148","n/e","n/e","n/e","69","108","28","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","28","1145","1094"
"BZN|DK1","01.01.2024 02:00 - 01.01.2024 03:00 (UTC)","123","n/e","n/e","n/e","60","103","27","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","25","1157","1050"
"BZN|DK1","01.01.2024 03:00 - 01.01.2024 04:00 (UTC)","123","n/e","n/e","n/e","61","105","28","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","0","25","787","936"
"BZN|DK1","01.01.2024 04:00 - 01.01.2024 05:00 (UTC)","123","n/e","n/e","n/e","60","104","27","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","0","25","787","934"
"BZN|DK1","01.01.2024 05:00 - 01.01.2024 06:00 (UTC)","123","n/e","n/e","n/e","67","110","28","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","0","25","724","1025"
"BZN|DK1","01.01.2024 06:00 - 01.01.2024 07:00 (UTC)","123","n/e","n/e","n/e","74","115","29","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","0","26","762","1098"
"BZN|DK1","01.01.2024 07:00 - 01.01.2024 08:00 (UTC)","122","n/e","n/e","n/e","71","109","28","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","0","25","666","1111"
"BZN|DK1","01.01.2024 08:00 - 01.01.2024 09:00 (UTC)","123","n/e","n/e","n/e","72","112","29","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","6","30","1045","1152"
"BZN|DK1","01.01.2024 09:00 - 01.01.2024 10:00 (UTC)","145","n/e","n/e","n/e","112","149","30","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","26","30","974","1163"
"BZN|DK1","01.01.2024 10:00 - 01.01.2024 11:00 (UTC)","148","n/e","n/e","n/e","123","152","30","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","41","30","880","1144"
"BZN|DK1","01.01.2024 11:00 - 01.01.2024 12:00 (UTC)","166","n/e","n/e","n/e","129","156","30","n/e","n/e","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","1","58","31","730","1122"
