"Time (UTC)","BZN|NO2 > BZN|DK1 [MW]","BZN|DK1 > BZN|NO2 [MW]"
"01.01.2023 00:00 - 01.01.2023 01:00","0","1611"
"01.01.2023 01:00 - 01.01.2023 02:00","0","1612"
"01.01.2023 02:00 - 01.01.2023 03:00","0","1612"
"01.01.2023 03:00 - 01.01.2023 04:00","0","1612"
"01.01.2023 04:00 - 01.01.2023 05:00","0","1612"
"01.01.2023 05:00 - 01.01.2023 06:00","0","1612"
"01.01.2023 06:00 - 01.01.2023 07:00","0","1612"
"01.01.2023 07:00 - 01.01.2023 08:00","0","1612"
"01.01.2023 08:00 - 01.01.2023 09:00","0","1612"
"01.01.2023 09:00 - 01.01.2023 10:00","0","1612"
"01.01.2023 10:00 - 01.01.2023 11:00","0","1613"
"01.01.2023 11:00 - 01.01.2023 12:00","0","1613"
"01.01.2023 12:00 - 01.01.2023 13:00","0","1613"
"01.01.2023 13:00 - 01.01.2023 14:00","0","1613"
"01.01.2023 14:00 - 01.01.2023 15:00","0","1613"
"01.01.2023 15:00 - 01.01.2023 16:00","0","1612"
"01.01.2023 16:00 - 01.01.2023 17:00","0","1612"
"01.01.2023 17:00 - 01.01.2023 18:00","0","1612"
"01.01.2023 18:00 - 01.01.2023 19:00","0","1612"
"01.01.2023 19:00 - 01.01.2023 20:00","0","1612"
"01.01.2023 20:00 - 01.01.2023 21:00","0","1612"
"01.01.2023 21:00 - 01.01.2023 22:00","0","1612"
"01.01.2023 22:00 - 01.01.2023 23:00","0","1612"
"01.01.2023 23:00 - 02.01.2023 00:00","0","1612"
"02.01.2023 00:00 - 02.01.2023 01:00","0","1612"
"02.01.2023 01:00 - 02.01.2023 02:00","0","1612"
"02.01.2023 02:00 - 02.01.2023 03:00","0","1613"
"02.01.2023 03:00 - 02.01.2023 04:00","0","1612"
"02.01.2023 04:00 - 02.01.2023 05:00","0","1598"
"02.01.2023 05:00 - 02.01.2023 06:00","0","1359"
"02.01.2023 06:00 - 02.01.2023 07:00","0","922"
"02.01.2023 07:00 - 02.01.2023 08:00","0","496"
"02.01.2023 08:00 - 02.01.2023 09:00","0","94"
"02.01.2023 09:00 - 02.01.2023 10:00","0","82"
"02.01.2023 10:00 - 02.01.2023 11:00","0","145"
"02.01.2023 11:00 - 02.01.2023 12:00","0","223"
"02.01.2023 12:00 - 02.01.2023 13:00","0","298"
"02.01.2023 13:00 - 02.01.2023 14:00","0","7"
"02.01.2023 14:00 - 02.01.2023 15:00","0","51"
"02.01.2023 15:00 - 02.01.2023 16:00","0","81"
"02.01.2023 16:00 - 02.01.2023 17:00","0","181"
"02.01.2023 17:00 - 02.01.2023 18:00","0","386"
"02.01.2023 18:00 - 02.01.2023 19:00","0","797"
"02.01.2023 19:00 - 02.01.2023 20:00","0","1029"
"02.01.2023 20:00 - 02.01.2023 21:00","0","874"
"02.01.2023 21:00 - 02.01.2023 22:00","0","628"
"02.01.2023 22:00 - 02.01.2023 23:00","0","920"
"02.01.2023 23:00 - 03.01.2023 00:00","0","1347"
"03.01.2023 00:00 - 03.01.2023 01:00","0","1593"
"03.01.2023 01:00 - 03.01.2023 02:00","0","1595"
"03.01.2023 02:00 - 03.01.2023 03:00","0","1353"
"03.01.2023 03:00 - 03.01.2023 04:00","0","917"
"03.01.2023 04:00 - 03.01.2023 05:00","0","472"
"03.01.2023 05:00 - 03.01.2023 06:00","61","0"
"03.01.2023 06:00 - 03.01.2023 07:00","783","0"
"03.01.2023 07:00 - 03.01.2023 08:00","572","0"
"03.01.2023 08:00 - 03.01.2023 09:00","217","0"
"03.01.2023 09:00 - 03.01.2023 10:00","163","0"
"03.01.2023 10:00 - 03.01.2023 11:00","70","0"
"03.01.2023 11:00 - 03.01.2023 12:00","65","0"
"03.01.2023 12:00 - 03.01.2023 13:00","120","0"
"03.01.2023 13:00 - 03.01.2023 14:00","154","0"
"03.01.2023 14:00 - 03.01.2023 15:00","186","0"
"03.01.2023 15:00 - 03.01.2023 16:00","347","0"
"03.01.2023 16:00 - 03.01.2023 17:00","441","0"
"03.01.2023 17:00 - 03.01.2023 18:00","259","0"
"03.01.2023 18:00 - 03.01.2023 19:00","186","0"
"03.01.2023 19:00 - 03.01.2023 20:00","0","447"
"03.01.2023 20:00 - 03.01.2023 21:00","0","727"
"03.01.2023 21:00 - 03.01.2023 22:00","0","719"
"03.01.2023 22:00 - 03.01.2023 23:00","0","1071"
"03.01.2023 23:00 - 04.01.2023 00:00","0","1124"
"04.01.2023 00:00 - 04.01.2023 01:00","0","1340"
"04.01.2023 01:00 - 04.01.2023 02:00","0","1314"
"04.01.2023 02:00 - 04.01.2023 03:00","0","1392"
"04.01.2023 03:00 - 04.01.2023 04:00","0","1324"
"04.01.2023 04:00 - 04.01.2023 05:00","0","1385"
"04.01.2023 05:00 - 04.01.2023 06:00","0","1126"
"04.01.2023 06:00 - 04.01.2023 07:00","0","1095"
"04.01.2023 07:00 - 04.01.2023 08:00","0","1574"
"04.01.2023 08:00 - 04.01.2023 09:00","0","1610"
"04.01.2023 09:00 - 04.01.2023 10:00","0","1610"
"04.01.2023 10:00 - 04.01.2023 11:00","0","1610"
"04.01.2023 11:00 - 04.01.2023 12:00","0","1611"
"04.01.2023 12:00 - 04.01.2023 13:00","0","1609"
"04.01.2023 13:00 - 04.01.2023 14:00","0","1584"
"04.01.2023 14:00 - 04.01.2023 15:00","0","1538"
"04.01.2023 15:00 - 04.01.2023 16:00","0","1605"
"04.01.2023 16:00 - 04.01.2023 17:00","0","1602"
"04.01.2023 17:00 - 04.01.2023 18:00","0","1608"
"04.01.2023 18:00 - 04.01.2023 19:00","0","1609"
"04.01.2023 19:00 - 04.01.2023 20:00","0","1609"
"04.01.2023 20:00 - 04.01.2023 21:00","0","1607"
"04.01.2023 21:00 - 04.01.2023 22:00","0","1568"
"04.01.2023 22:00 - 04.01.2023 23:00","0","1607"
"04.01.2023 23:00 - 05.01.2023 00:00","0","1611"
"05.01.2023 00:00 - 05.01.2023 01:00","0","1610"
"05.01.2023 01:00 - 05.01.2023 02:00","0","1610"
"05.01.2023 02:00 - 05.01.2023 03:00","0","1610"
"05.01.2023 03:00 - 05.01.2023 04:00","0","1610"
"05.01.2023 04:00 - 05.01.2023 05:00","0","1610"
"05.01.2023 05:00 - 05.01.2023 06:00","0","1592"
"05.01.2023 06:00 - 05.01.2023 07:00","0","1343"
"05.01.2023 07:00 - 05.01.2023 08:00","0","1361"
"05.01.2023 08:00 - 05.01.2023 09:00","0","951"
"05.01.2023 09:00 - 05.01.2023 10:00","0","567"
"05.01.2023 10:00 - 05.01.2023 11:00","0","181"
"05.01.2023 11:00 - 05.01.2023 12:00","0","23"
"05.01.2023 12:00 - 05.01.2023 13:00","7","0"
"05.01.2023 13:00 - 05.01.2023 14:00","92","0"
"05.01.2023 14:00 - 05.01.2023 15:00","170","0"
"05.01.2023 15:00 - 05.01.2023 16:00","544","0"
"05.01.2023 16:00 - 05.01.2023 17:00","885","0"
"05.01.2023 17:00 - 05.01.2023 18:00","1020","0"
"05.01.2023 18:00 - 05.01.2023 19:00","964","0"
"05.01.2023 19:00 - 05.01.2023 20:00","549","0"
"05.01.2023 20:00 - 05.01.2023 21:00","203","0"
"05.01.2023 21:00 - 05.01.2023 22:00","124","0"
"05.01.2023 22:00 - 05.01.2023 23:00","8","0"
"05.01.2023 23:00 - 06.01.2023 00:00","0","427"
"06.01.2023 00:00 - 06.01.2023 01:00","0","850"
"06.01.2023 01:00 - 06.01.2023 02:00","0","1283"
"06.01.2023 02:00 - 06.01.2023 03:00","0","1582"
"06.01.2023 03:00 - 06.01.2023 04:00","0","1595"
"06.01.2023 04:00 - 06.01.2023 05:00","0","1386"
"06.01.2023 05:00 - 06.01.2023 06:00","0","1082"
"06.01.2023 06:00 - 06.01.2023 07:00","0","670"
"06.01.2023 07:00 - 06.01.2023 08:00","0","282"
"06.01.2023 08:00 - 06.01.2023 09:00","0","671"
"06.01.2023 09:00 - 06.01.2023 10:00","0","1100"
"06.01.2023 10:00 - 06.01.2023 11:00","0","1331"
"06.01.2023 11:00 - 06.01.2023 12:00","0","1277"
"06.01.2023 12:00 - 06.01.2023 13:00","0","1176"
"06.01.2023 13:00 - 06.01.2023 14:00","0","764"
"06.01.2023 14:00 - 06.01.2023 15:00","0","383"
"06.01.2023 15:00 - 06.01.2023 16:00","0","306"
"06.01.2023 16:00 - 06.01.2023 17:00","34","0"
"06.01.2023 17:00 - 06.01.2023 18:00","200","0"
"06.01.2023 18:00 - 06.01.2023 19:00","88","0"
"06.01.2023 19:00 - 06.01.2023 20:00","0","289"
"06.01.2023 20:00 - 06.01.2023 21:00","0","56"
"06.01.2023 21:00 - 06.01.2023 22:00","0","55"
"06.01.2023 22:00 - 06.01.2023 23:00","56","0"
"06.01.2023 23:00 - 07.01.2023 00:00","0","451"
"07.01.2023 00:00 - 07.01.2023 01:00","0","609"
"07.01.2023 01:00 - 07.01.2023 02:00","0","858"
"07.01.2023 02:00 - 07.01.2023 03:00","0","1299"
"07.01.2023 03:00 - 07.01.2023 04:00","0","1573"
"07.01.2023 04:00 - 07.01.2023 05:00","0","1304"
"07.01.2023 05:00 - 07.01.2023 06:00","0","944"
"07.01.2023 06:00 - 07.01.2023 07:00","0","531"
"07.01.2023 07:00 - 07.01.2023 08:00","0","521"
"07.01.2023 08:00 - 07.01.2023 09:00","0","792"
"07.01.2023 09:00 - 07.01.2023 10:00","0","1221"
"07.01.2023 10:00 - 07.01.2023 11:00","0","1586"
"07.01.2023 11:00 - 07.01.2023 12:00","0","1611"
"07.01.2023 12:00 - 07.01.2023 13:00","0","1610"
"07.01.2023 13:00 - 07.01.2023 14:00","0","1611"
"07.01.2023 14:00 - 07.01.2023 15:00","0","1610"
"07.01.2023 15:00 - 07.01.2023 16:00","0","1610"
"07.01.2023 16:00 - 07.01.2023 17:00","0","1611"
"07.01.2023 17:00 - 07.01.2023 18:00","0","1606"
"07.01.2023 18:00 - 07.01.2023 19:00","0","1550"
"07.01.2023 19:00 - 07.01.2023 20:00","0","1606"
"07.01.2023 20:00 - 07.01.2023 21:00","0","1611"
"07.01.2023 21:00 - 07.01.2023 22:00","0","1611"
"07.01.2023 22:00 - 07.01.2023 23:00","0","1610"
"07.01.2023 23:00 - 08.01.2023 00:00","0","1610"
"08.01.2023 00:00 - 08.01.2023 01:00","0","1610"
"08.01.2023 01:00 - 08.01.2023 02:00","0","1610"
"08.01.2023 02:00 - 08.01.2023 03:00","0","1610"
"08.01.2023 03:00 - 08.01.2023 04:00","0","1610"
"08.01.2023 04:00 - 08.01.2023 05:00","0","1610"
"08.01.2023 05:00 - 08.01.2023 06:00","0","1609"
"08.01.2023 06:00 - 08.01.2023 07:00","0","1591"
"08.01.2023 07:00 - 08.01.2023 08:00","0","1583"
"08.01.2023 08:00 - 08.01.2023 09:00","0","1254"
"08.01.2023 09:00 - 08.01.2023 10:00","0","1019"
"08.01.2023 10:00 - 08.01.2023 11:00","0","677"
"08.01.2023 11:00 - 08.01.2023 12:00","0","1039"
"08.01.2023 12:00 - 08.01.2023 13:00","0","1432"
"08.01.2023 13:00 - 08.01.2023 14:00","0","1217"
"08.01.2023 14:00 - 08.01.2023 15:00","0","783"
"08.01.2023 15:00 - 08.01.2023 16:00","0","343"
"08.01.2023 16:00 - 08.01.2023 17:00","24","0"
"08.01.2023 17:00 - 08.01.2023 18:00","0","14"
"08.01.2023 18:00 - 08.01.2023 19:00","0","432"
"08.01.2023 19:00 - 08.01.2023 20:00","0","833"
"08.01.2023 20:00 - 08.01.2023 21:00","0","962"
"08.01.2023 21:00 - 08.01.2023 22:00","0","871"
"08.01.2023 22:00 - 08.01.2023 23:00","0","1506"
"08.01.2023 23:00 - 09.01.2023 00:00","0","1596"
"09.01.2023 00:00 - 09.01.2023 01:00","0","1609"
"09.01.2023 01:00 - 09.01.2023 02:00","0","1598"
"09.01.2023 02:00 - 09.01.2023 03:00","0","1397"
"09.01.2023 03:00 - 09.01.2023 04:00","0","963"
"09.01.2023 04:00 - 09.01.2023 05:00","0","517"
"09.01.2023 05:00 - 09.01.2023 06:00","0","29"
"09.01.2023 06:00 - 09.01.2023 07:00","581","0"
"09.01.2023 07:00 - 09.01.2023 08:00","864","0"
"09.01.2023 08:00 - 09.01.2023 09:00","1095","0"
"09.01.2023 09:00 - 09.01.2023 10:00","1050","0"
"09.01.2023 10:00 - 09.01.2023 11:00","1034","0"
"09.01.2023 11:00 - 09.01.2023 12:00","751","0"
"09.01.2023 12:00 - 09.01.2023 13:00","812","0"
"09.01.2023 13:00 - 09.01.2023 14:00","1089","0"
"09.01.2023 14:00 - 09.01.2023 15:00","1110","0"
"09.01.2023 15:00 - 09.01.2023 16:00","1110","0"
"09.01.2023 16:00 - 09.01.2023 17:00","1110","0"
"09.01.2023 17:00 - 09.01.2023 18:00","1110","0"
"09.01.2023 18:00 - 09.01.2023 19:00","1110","0"
"09.01.2023 19:00 - 09.01.2023 20:00","1081","0"
"09.01.2023 20:00 - 09.01.2023 21:00","661","0"
"09.01.2023 21:00 - 09.01.2023 22:00","247","0"
"09.01.2023 22:00 - 09.01.2023 23:00","84","0"
"09.01.2023 23:00 - 10.01.2023 00:00","0","387"
"10.01.2023 00:00 - 10.01.2023 01:00","0","888"
"10.01.2023 01:00 - 10.01.2023 02:00","0","1055"
"10.01.2023 02:00 - 10.01.2023 03:00","0","672"
"10.01.2023 03:00 - 10.01.2023 04:00","0","470"
"10.01.2023 04:00 - 10.01.2023 05:00","0","215"
"10.01.2023 05:00 - 10.01.2023 06:00","211","0"
"10.01.2023 06:00 - 10.01.2023 07:00","653","0"
"10.01.2023 07:00 - 10.01.2023 08:00","964","0"
"10.01.2023 08:00 - 10.01.2023 09:00","989","0"
"10.01.2023 09:00 - 10.01.2023 10:00","717","0"
"10.01.2023 10:00 - 10.01.2023 11:00","279","0"
"10.01.2023 11:00 - 10.01.2023 12:00","0","152"
"10.01.2023 12:00 - 10.01.2023 13:00","0","480"
"10.01.2023 13:00 - 10.01.2023 14:00","0","692"
"10.01.2023 14:00 - 10.01.2023 15:00","0","421"
"10.01.2023 15:00 - 10.01.2023 16:00","0","149"
"10.01.2023 16:00 - 10.01.2023 17:00","0","199"
"10.01.2023 17:00 - 10.01.2023 18:00","0","476"
"10.01.2023 18:00 - 10.01.2023 19:00","0","608"
"10.01.2023 19:00 - 10.01.2023 20:00","0","1032"
"10.01.2023 20:00 - 10.01.2023 21:00","0","1463"
"10.01.2023 21:00 - 10.01.2023 22:00","0","1600"
"10.01.2023 22:00 - 10.01.2023 23:00","0","1609"
"10.01.2023 23:00 - 11.01.2023 00:00","0","1609"
"11.01.2023 00:00 - 11.01.2023 01:00","0","1609"
"11.01.2023 01:00 - 11.01.2023 02:00","0","1609"
"11.01.2023 02:00 - 11.01.2023 03:00","0","1609"
"11.01.2023 03:00 - 11.01.2023 04:00","0","1609"
"11.01.2023 04:00 - 11.01.2023 05:00","0","1583"
"11.01.2023 05:00 - 11.01.2023 06:00","0","1197"
"11.01.2023 06:00 - 11.01.2023 07:00","0","756"
"11.01.2023 07:00 - 11.01.2023 08:00","0","375"
"11.01.2023 08:00 - 11.01.2023 09:00","0","409"
"11.01.2023 09:00 - 11.01.2023 10:00","0","403"
"11.01.2023 10:00 - 11.01.2023 11:00","0","402"
"11.01.2023 11:00 - 11.01.2023 12:00","0","735"
"11.01.2023 12:00 - 11.01.2023 13:00","0","648"
"11.01.2023 13:00 - 11.01.2023 14:00","0","779"
"11.01.2023 14:00 - 11.01.2023 15:00","0","964"
"11.01.2023 15:00 - 11.01.2023 16:00","0","1059"
"11.01.2023 16:00 - 11.01.2023 17:00","0","696"
"11.01.2023 17:00 - 11.01.2023 18:00","0","418"
"11.01.2023 18:00 - 11.01.2023 19:00","0","633"
"11.01.2023 19:00 - 11.01.2023 20:00","0","920"
"11.01.2023 20:00 - 11.01.2023 21:00","0","797"
"11.01.2023 21:00 - 11.01.2023 22:00","0","862"
