"Time (UTC)","BZN|DE-LU > BZN|DK1 [MW]","BZN|DK1 > BZN|DE-LU [MW]"
"01.01.2024 00:00 - 01.01.2024 00:15","2507","0"
"01.01.2024 00:15 - 01.01.2024 00:30","2545","0"
"01.01.2024 00:30 - 01.01.2024 00:45","2547","0"
"01.01.2024 00:45 - 01.01.2024 01:00","2471","0"
"01.01.2024 01:00 - 01.01.2024 01:15","2404","0"
"01.01.2024 01:15 - 01.01.2024 01:30","2384","0"
"01.01.2024 01:30 - 01.01.2024 01:45","2399","0"
"01.01.2024 01:45 - 01.01.2024 02:00","2468","0"
"01.01.2024 02:00 - 01.01.2024 02:15","2493","0"
"01.01.2024 02:15 - 01.01.2024 02:30","2533","0"
"01.01.2024 02:30 - 01.01.2024 02:45","2517","0"
"01.01.2024 02:45 - 01.01.2024 03:00","2455","0"
"01.01.2024 03:00 - 01.01.2024 03:15","2590","0"
"01.01.2024 03:15 - 01.01.2024 03:30","2412","0"
"01.01.2024 03:30 - 01.01.2024 03:45","2354","0"
"01.01.2024 03:45 - 01.01.2024 04:00","2334","0"
"01.01.2024 04:00 - 01.01.2024 04:15","1963","0"
"01.01.2024 04:15 - 01.01.2024 04:30","1918","0"
"01.01.2024 04:30 - 01.01.2024 04:45","1889","0"
"01.01.2024 04:45 - 01.01.2024 05:00","1896","0"
"01.01.2024 05:00 - 01.01.2024 05:15","1941","0"
"01.01.2024 05:15 - 01.01.2024 05:30","1982","0"
"01.01.2024 05:30 - 01.01.2024 05:45","2034","0"
"01.01.2024 05:45 - 01.01.2024 06:00","2095","0"
"01.01.2024 06:00 - 01.01.2024 06:15","2265","0"
"01.01.2024 06:15 - 01.01.2024 06:30","2275","0"
"01.01.2024 06:30 - 01.01.2024 06:45","2271","0"
"01.01.2024 06:45 - 01.01.2024 07:00","2308","0"
"01.01.2024 07:00 - 01.01.2024 07:15","2171","0"
"01.01.2024 07:15 - 01.01.2024 07:30","2239","0"
"01.01.2024 07:30 - 01.01.2024 07:45","2201","0"
"01.01.2024 07:45 - 01.01.2024 08:00","2307","0"
"01.01.2024 08:00 - 01.01.2024 08:15","2505","0"
"01.01.2024 08:15 - 01.01.2024 08:30","2515","0"
"01.01.2024 08:30 - 01.01.2024 08:45","2510","0"
"01.01.2024 08:45 - 01.01.2024 09:00","2457","0"
"01.01.2024 09:00 - 01.01.2024 09:15","2500","0"
"01.01.2024 09:15 - 01.01.2024 09:30","2323","0"
"01.01.2024 09:30 - 01.01.2024 09:45","2387","0"
"01.01.2024 09:45 - 01.01.2024 10:00","2342","0"
"01.01.2024 10:00 - 01.01.2024 10:15","2496","0"
"01.01.2024 10:15 - 01.01.2024 10:30","2505","0"
"01.01.2024 10:30 - 01.01.2024 10:45","2508","0"
"01.01.2024 10:45 - 01.01.2024 11:00","2506","0"
"01.01.2024 11:00 - 01.01.2024 11:15","2485","0"
"01.01.2024 11:15 - 01.01.2024 11:30","2499","0"
"01.01.2024 11:30 - 01.01.2024 11:45","2525","0"
"01.01.2024 11:45 - 01.01.2024 12:00","2504","0"
"01.01.2024 12:00 - 01.01.2024 12:15","2470","0"
"01.01.2024 12:15 - 01.01.2024 12:30","2482","0"
"01.01.2024 12:30 - 01.01.2024 12:45","2509","0"
"01.01.2024 12:45 - 01.01.2024 13:00","2492","0"
"01.01.2024 13:00 - 01.01.2024 13:15","2444","0"
"01.01.2024 13:15 - 01.01.2024 13:30","2426","0"
"01.01.2024 13:30 - 01.01.2024 13:45","2445","0"
"01.01.2024 13:45 - 01.01.2024 14:00","2502","0"
"01.01.2024 14:00 - 01.01.2024 14:15","2441","0"
"01.01.2024 14:15 - 01.01.2024 14:30","2413","0"
"01.01.2024 14:30 - 01.01.2024 14:45","2368","0"
"01.01.2024 14:45 - 01.01.2024 15:00","2280","0"
"01.01.2024 15:00 - 01.01.2024 15:15","2391","0"
"01.01.2024 15:15 - 01.01.2024 15:30","2404","0"
"01.01.2024 15:30 - 01.01.2024 15:45","2453","0"
"01.01.2024 15:45 - 01.01.2024 16:00","2348","0"
"01.01.2024 16:00 - 01.01.2024 16:15","2526","0"
"01.01.2024 16:15 - 01.01.2024 16:30","2445","0"
"01.01.2024 16:30 - 01.01.2024 16:45","2473","0"
"01.01.2024 16:45 - 01.01.2024 17:00","2525","0"
"01.01.2024 17:00 - 01.01.2024 17:15","2217","0"
"01.01.2024 17:15 - 01.01.2024 17:30","2425","0"
"01.01.2024 17:30 - 01.01.2024 17:45","2457","0"
"01.01.2024 17:45 - 01.01.2024 18:00","2402","0"
"01.01.2024 18:00 - 01.01.2024 18:15","2569","0"
"01.01.2024 18:15 - 01.01.2024 18:30","2470","0"
"01.01.2024 18:30 - 01.01.2024 18:45","2501","0"
