"MTU","Scheduled Generation [MW] (D) - BZN|DK2","Scheduled Consumption [MW] (D) - BZN|DK2"
"01.01.2023 00:00 - 01.01.2023 01:00 (UTC)","1340",""
"01.01.2023 01:00 - 01.01.2023 02:00 (UTC)","1178",""
"01.01.2023 02:00 - 01.01.2023 03:00 (UTC)","1207",""
"01.01.2023 03:00 - 01.01.2023 04:00 (UTC)","1154",""
"01.01.2023 04:00 - 01.01.2023 05:00 (UTC)","1292",""
"01.01.2023 05:00 - 01.01.2023 06:00 (UTC)","1287",""
"01.01.2023 06:00 - 01.01.2023 07:00 (UTC)","1345",""
"01.01.2023 07:00 - 01.01.2023 08:00 (UTC)","1552",""
"01.01.2023 08:00 - 01.01.2023 09:00 (UTC)","1606",""
"01.01.2023 09:00 - 01.01.2023 10:00 (UTC)","1603",""
"01.01.2023 10:00 - 01.01.2023 11:00 (UTC)","1604",""
"01.01.2023 11:00 - 01.01.2023 12:00 (UTC)","1604",""
"01.01.2023 12:00 - 01.01.2023 13:00 (UTC)","1581",""
"01.01.2023 13:00 - 01.01.2023 14:00 (UTC)","1521",""
"01.01.2023 14:00 - 01.01.2023 15:00 (UTC)","1470",""
"01.01.2023 15:00 - 01.01.2023 16:00 (UTC)","1447",""
"01.01.2023 16:00 - 01.01.2023 17:00 (UTC)","1389",""
"01.01.2023 17:00 - 01.01.2023 18:00 (UTC)","1318",""
"01.01.2023 18:00 - 01.01.2023 19:00 (UTC)","1292",""
"01.01.2023 19:00 - 01.01.2023 20:00 (UTC)","1280",""
"01.01.2023 20:00 - 01.01.2023 21:00 (UTC)","1245",""
"01.01.2023 21:00 - 01.01.2023 22:00 (UTC)","1181",""
"01.01.2023 22:00 - 01.01.2023 23:00 (UTC)","1105",""
"01.01.2023 23:00 - 02.01.2023 00:00 (UTC)","1325",""
"02.01.2023 00:00 - 02.01.2023 01:00 (UTC)","1255",""
"02.01.2023 01:00 - 02.01.2023 02:00 (UTC)","1141",""
"02.01.2023 02:00 - 02.01.2023 03:00 (UTC)","1022",""
"02.01.2023 03:00 - 02.01.2023 04:00 (UTC)","979",""
"02.01.2023 04:00 - 02.01.2023 05:00 (UTC)","991",""
"02.01.2023 05:00 - 02.01.2023 06:00 (UTC)","1061",""
"02.01.2023 06:00 - 02.01.2023 07:00 (UTC)","1225",""
"02.01.2023 07:00 - 02.01.2023 08:00 (UTC)","1374",""
"02.01.2023 08:00 - 02.01.2023 09:00 (UTC)","1521",""
"02.01.2023 09:00 - 02.01.2023 10:00 (UTC)","1586",""
"02.01.2023 10:00 - 02.01.2023 11:00 (UTC)","1668",""
"02.01.2023 11:00 - 02.01.2023 12:00 (UTC)","1731",""
"02.01.2023 12:00 - 02.01.2023 13:00 (UTC)","1727",""
"02.01.2023 13:00 - 02.01.2023 14:00 (UTC)","1689",""
"02.01.2023 14:00 - 02.01.2023 15:00 (UTC)","1659",""
"02.01.2023 15:00 - 02.01.2023 16:00 (UTC)","1667",""
"02.01.2023 16:00 - 02.01.2023 17:00 (UTC)","1685",""
"02.01.2023 17:00 - 02.01.2023 18:00 (UTC)","1673",""
"02.01.2023 18:00 - 02.01.2023 19:00 (UTC)","1709",""
"02.01.2023 19:00 - 02.01.2023 20:00 (UTC)","1694",""
"02.01.2023 20:00 - 02.01.2023 21:00 (UTC)","1691",""
"02.01.2023 21:00 - 02.01.2023 22:00 (UTC)","1701",""
"02.01.2023 22:00 - 02.01.2023 23:00 (UTC)","1686",""
"02.01.2023 23:00 - 03.01.2023 00:00 (UTC)","1863",""
"03.01.2023 00:00 - 03.01.2023 01:00 (UTC)","1781",""
"03.01.2023 01:00 - 03.01.2023 02:00 (UTC)","1714",""
"03.01.2023 02:00 - 03.01.2023 03:00 (UTC)","1687",""
"03.01.2023 03:00 - 03.01.2023 04:00 (UTC)","1673",""
"03.01.2023 04:00 - 03.01.2023 05:00 (UTC)","1715",""
"03.01.2023 05:00 - 03.01.2023 06:00 (UTC)","1752",""
"03.01.2023 06:00 - 03.01.2023 07:00 (UTC)","1838",""
"03.01.2023 07:00 - 03.01.2023 08:00 (UTC)","1948",""
"03.01.2023 08:00 - 03.01.2023 09:00 (UTC)","1981",""
