"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","01.01.2023 00:00 - 01.01.2023 01:00 (UTC)","120","n/e","n/e","n/e","34","77","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","910","451"
"BZN|DK2","01.01.2023 01:00 - 01.01.2023 02:00 (UTC)","113","n/e","n/e","n/e","36","82","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","769","453"
"BZN|DK2","01.01.2023 02:00 - 01.01.2023 03:00 (UTC)","111","n/e","n/e","n/e","36","80","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","675","454"
"BZN|DK2","01.01.2023 03:00 - 01.01.2023 04:00 (UTC)","112","n/e","n/e","n/e","37","83","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","575","459"
"BZN|DK2","01.01.2023 04:00 - 01.01.2023 05:00 (UTC)","112","n/e","n/e","n/e","35","79","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","760","465"
"BZN|DK2","01.01.2023 05:00 - 01.01.2023 06:00 (UTC)","112","n/e","n/e","n/e","36","80","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","770","467"
"BZN|DK2","01.01.2023 06:00 - 01.01.2023 07:00 (UTC)","115","n/e","n/e","n/e","36","80","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","772","464"
"BZN|DK2","01.01.2023 07:00 - 01.01.2023 08:00 (UTC)","117","n/e","n/e","n/e","36","80","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","917","479"
"BZN|DK2","01.01.2023 08:00 - 01.01.2023 09:00 (UTC)","114","n/e","n/e","n/e","36","80","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","48","918","493"
"BZN|DK2","01.01.2023 09:00 - 01.01.2023 10:00 (UTC)","114","n/e","n/e","n/e","37","81","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","25","49","905","479"
"BZN|DK2","01.01.2023 10:00 - 01.01.2023 11:00 (UTC)","120","n/e","n/e","n/e","37","81","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","55","53","915","497"
"BZN|DK2","01.01.2023 11:00 - 01.01.2023 12:00 (UTC)","121","n/e","n/e","n/e","37","81","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","67","64","911","524"
"BZN|DK2","01.01.2023 12:00 - 01.01.2023 13:00 (UTC)","121","n/e","n/e","n/e","38","83","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","65","911","512"
"BZN|DK2","01.01.2023 13:00 - 01.01.2023 14:00 (UTC)","123","n/e","n/e","n/e","37","82","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","63","905","490"
"BZN|DK2","01.01.2023 14:00 - 01.01.2023 15:00 (UTC)","123","n/e","n/e","n/e","46","100","19","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","65","872","499"
"BZN|DK2","01.01.2023 15:00 - 01.01.2023 16:00 (UTC)","122","n/e","n/e","n/e","57","159","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","885","473"
"BZN|DK2","01.01.2023 16:00 - 01.01.2023 17:00 (UTC)","126","n/e","n/e","n/e","64","173","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","898","445"
"BZN|DK2","01.01.2023 17:00 - 01.01.2023 18:00 (UTC)","214","n/e","n/e","n/e","64","172","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","836","404"
"BZN|DK2","01.01.2023 18:00 - 01.01.2023 19:00 (UTC)","213","n/e","n/e","n/e","63","169","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","868","379"
"BZN|DK2","01.01.2023 19:00 - 01.01.2023 20:00 (UTC)","138","n/e","n/e","n/e","66","174","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","888","382"
"BZN|DK2","01.01.2023 20:00 - 01.01.2023 21:00 (UTC)","201","n/e","n/e","n/e","59","163","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","886","360"
"BZN|DK2","01.01.2023 21:00 - 01.01.2023 22:00 (UTC)","199","n/e","n/e","n/e","58","152","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","851","313"
"BZN|DK2","01.01.2023 22:00 - 01.01.2023 23:00 (UTC)","200","n/e","n/e","n/e","56","151","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","752","260"
"BZN|DK2","01.01.2023 23:00 - 02.01.2023 00:00 (UTC)","201","n/e","n/e","n/e","66","173","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","603","213"
"BZN|DK2","02.01.2023 00:00 - 02.01.2023 01:00 (UTC)","162","n/e","n/e","n/e","67","176","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","476","193"
"BZN|DK2","02.01.2023 01:00 - 02.01.2023 02:00 (UTC)","165","n/e","n/e","n/e","67","175","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","496","156"
"BZN|DK2","02.01.2023 02:00 - 02.01.2023 03:00 (UTC)","166","n/e","n/e","n/e","68","175","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","508","151"
"BZN|DK2","02.01.2023 03:00 - 02.01.2023 04:00 (UTC)","167","n/e","n/e","n/e","69","177","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","350","104"
"BZN|DK2","02.01.2023 04:00 - 02.01.2023 05:00 (UTC)","272","n/e","n/e","n/e","68","181","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","361","92"
"BZN|DK2","02.01.2023 05:00 - 02.01.2023 06:00 (UTC)","320","n/e","n/e","n/e","68","182","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","417","135"
"BZN|DK2","02.01.2023 06:00 - 02.01.2023 07:00 (UTC)","328","n/e","n/e","n/e","69","183","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","633","207"
"BZN|DK2","02.01.2023 07:00 - 02.01.2023 08:00 (UTC)","345","n/e","n/e","n/e","73","191","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","836","266"
"BZN|DK2","02.01.2023 08:00 - 02.01.2023 09:00 (UTC)","342","n/e","n/e","n/e","73","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","67","905","277"
"BZN|DK2","02.01.2023 09:00 - 02.01.2023 10:00 (UTC)","345","n/e","n/e","n/e","74","194","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","64","899","285"
"BZN|DK2","02.01.2023 10:00 - 02.01.2023 11:00 (UTC)","326","n/e","n/e","n/e","105","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17","66","906","280"
"BZN|DK2","02.01.2023 11:00 - 02.01.2023 12:00 (UTC)","299","n/e","n/e","n/e","128","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","68","896","305"
"BZN|DK2","02.01.2023 12:00 - 02.01.2023 13:00 (UTC)","310","n/e","n/e","n/e","135","195","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12","69","827","297"
"BZN|DK2","02.01.2023 13:00 - 02.01.2023 14:00 (UTC)","298","n/e","n/e","n/e","136","195","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","68","868","306"
"BZN|DK2","02.01.2023 14:00 - 02.01.2023 15:00 (UTC)","308","n/e","n/e","n/e","136","196","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","68","861","317"
"BZN|DK2","02.01.2023 15:00 - 02.01.2023 16:00 (UTC)","311","n/e","n/e","n/e","139","200","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","837","281"
"BZN|DK2","02.01.2023 16:00 - 02.01.2023 17:00 (UTC)","296","n/e","n/e","n/e","140","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","816","283"
"BZN|DK2","02.01.2023 17:00 - 02.01.2023 18:00 (UTC)","279","n/e","n/e","n/e","141","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","737","337"
"BZN|DK2","02.01.2023 18:00 - 02.01.2023 19:00 (UTC)","280","n/e","n/e","n/e","134","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","774","384"
"BZN|DK2","02.01.2023 19:00 - 02.01.2023 20:00 (UTC)","280","n/e","n/e","n/e","129","184","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","794","433"
"BZN|DK2","02.01.2023 20:00 - 02.01.2023 21:00 (UTC)","285","n/e","n/e","n/e","117","180","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","878","461"
"BZN|DK2","02.01.2023 21:00 - 02.01.2023 22:00 (UTC)","291","n/e","n/e","n/e","69","184","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","902","455"
"BZN|DK2","02.01.2023 22:00 - 02.01.2023 23:00 (UTC)","296","n/e","n/e","n/e","69","185","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","891","461"
"BZN|DK2","02.01.2023 23:00 - 03.01.2023 00:00 (UTC)","300","n/e","n/e","n/e","70","168","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","880","448"
"BZN|DK2","03.01.2023 00:00 - 03.01.2023 01:00 (UTC)","301","n/e","n/e","n/e","70","166","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","900","447"
"BZN|DK2","03.01.2023 01:00 - 03.01.2023 02:00 (UTC)","301","n/e","n/e","n/e","69","166","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","898","445"
"BZN|DK2","03.01.2023 02:00 - 03.01.2023 03:00 (UTC)","301","n/e","n/e","n/e","71","169","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","892","445"
"BZN|DK2","03.01.2023 03:00 - 03.01.2023 04:00 (UTC)","299","n/e","n/e","n/e","75","181","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","898","444"
"BZN|DK2","03.01.2023 04:00 - 03.01.2023 05:00 (UTC)","302","n/e","n/e","n/e","74","194","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","885","430"
"BZN|DK2","03.01.2023 05:00 - 03.01.2023 06:00 (UTC)","296","n/e","n/e","n/e","76","197","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","868","409"
"BZN|DK2","03.01.2023 06:00 - 03.01.2023 07:00 (UTC)","340","n/e","n/e","n/e","83","205","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","857","359"
"BZN|DK2","03.01.2023 07:00 - 03.01.2023 08:00 (UTC)","392","n/e","n/e","n/e","83","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","69","814","317"
"BZN|DK2","03.01.2023 08:00 - 03.01.2023 09:00 (UTC)","405","n/e","n/e","n/e","80","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","63","785","290"
"BZN|DK2","03.01.2023 09:00 - 03.01.2023 10:00 (UTC)","411","n/e","n/e","n/e","81","204","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","59","751","290"
"BZN|DK2","03.01.2023 10:00 - 03.01.2023 11:00 (UTC)","463","n/e","n/e","n/e","80","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","125","68","709","267"
"BZN|DK2","03.01.2023 11:00 - 03.01.2023 12:00 (UTC)","499","n/e","n/e","n/e","82","200","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","131","69","627","256"
"BZN|DK2","03.01.2023 12:00 - 03.01.2023 13:00 (UTC)","508","n/e","n/e","n/e","126","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","107","68","480","228"
"BZN|DK2","03.01.2023 13:00 - 03.01.2023 14:00 (UTC)","519","n/e","n/e","n/e","141","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","68","68","355","176"
"BZN|DK2","03.01.2023 14:00 - 03.01.2023 15:00 (UTC)","550","n/e","n/e","n/e","174","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16","68","297","124"
"BZN|DK2","03.01.2023 15:00 - 03.01.2023 16:00 (UTC)","556","n/e","n/e","n/e","166","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","295","118"
"BZN|DK2","03.01.2023 16:00 - 03.01.2023 17:00 (UTC)","552","n/e","n/e","n/e","163","200","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","278","128"
"BZN|DK2","03.01.2023 17:00 - 03.01.2023 18:00 (UTC)","584","n/e","n/e","n/e","172","200","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","256","132"
"BZN|DK2","03.01.2023 18:00 - 03.01.2023 19:00 (UTC)","441","n/e","n/e","n/e","135","194","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","315","152"
"BZN|DK2","03.01.2023 19:00 - 03.01.2023 20:00 (UTC)","521","n/e","n/e","n/e","130","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","269","191"
"BZN|DK2","03.01.2023 20:00 - 03.01.2023 21:00 (UTC)","523","n/e","n/e","n/e","77","195","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","305","184"
"BZN|DK2","03.01.2023 21:00 - 03.01.2023 22:00 (UTC)","474","n/e","n/e","n/e","76","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","317","199"
"BZN|DK2","03.01.2023 22:00 - 03.01.2023 23:00 (UTC)","455","n/e","n/e","n/e","75","195","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","364","237"
